"Country","cases","deads","mortality","deadsPER100k","casesPER100k","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent","doctors_density","nursing_density"
"Guyana",3521,104,3,13.35,447.65,59.8870098590851,4.94550988078117,32.4706435203552,72,138,939,1152,-213,-5.9,0.546,0.67,6.301e+09,30,"33⅓","16",0.8,0.7869
"Haiti",8882,230,2.6,2.07,77.9,11.8561938405037,8.03550109267235,40.2279019355774,49,7,1580,2251,-671,-8,0.299,0.503,1.997e+10,30,"30","10",NA,NA
"Honduras",84413,2521,3,26.29,852.26,40.0905758142471,7.85842537879944,48.7016767263412,65,79,4376,5086,-710,-3.1,0.464,0.623,4.63e+10,NA,NA,NA,0.31,0.7378
"Hungary",38837,968,2.5,9.91,402.02,68.7371075153351,6.87998980283737,26.8943250179291,74,727,63630,66960,-3330,-2.5,0.777,0.845,2.896e+11,9,"15","27",3.34,6.8037
"Iceland",3582,10,0.3,2.83,1049.69,81.8285703659058,8.32629129290581,16.480378806591,84,4935,9962,9735,227,0.9,0.885,0.938,1.818e+10,20,"46","24",3.98,15.7087
"India",7175880,109856,1.5,8.12,519.99,27.1320134401321,3.53495962917805,62.4015033245087,55,19,631687,808052,-176365,-5.8,0.538,0.647,9.474e+12,25.17,"30","28",0.78,2.1079
"Indonesia",336716,11935,3.5,4.46,123.1,48.3731865882874,2.98905447125435,34.6057176589966,57,56,130600,154800,-24200,-2.4,0.583,0.707,3.25e+12,25,"30","10",0.38,2.0532
"Iran",504281,28816,5.7,35.23,600.38,51.2473046779633,8.65966379642487,41.7565643787384,72,244,77220,86260,-9020,-2.1,0.706,0.797,1.64e+12,25,"35","9",NA,NA
"Iraq",405437,9912,2.4,25.79,1007.99,41.8605357408524,4.16663028299809,58.0432951450348,61,88,63970,76350,-12380,-6.4,0.552,0.689,6.493e+11,15,"15","0-300",0.84,1.8126
"Ireland",43351,1827,4.2,37.64,877.94,73.2924282550812,7.18438327312469,12.2811168432236,76,4028,85410,87220,-1810,-0.6,0.872,0.942,3.533e+11,12.5,"52","23",3.29,16.0996
"Israel",294031,2021,0.7,22.75,3397.03,63.6250734329224,7.40746408700943,22.2508862614632,82,2001,92820,102100,-9280,-2.7,0.809,0.906,3.171e+11,23,"50","17",3.48,5.7002
"Italy",359569,36205,10.1,59.91,594.7,73.897385597229,8.84025916457176,23.4858065843582,82,2129,884500,927800,-43000,-2.3,0.776,0.883,2.317e+12,27.9,"47","22",3.98,6.0605
"Jamaica",7813,146,1.9,4.97,263.85,64.6982431411743,5.98841682076454,17.2296956181526,65,199,4207,4150,57,0.4,0.604,0.726,2.606e+10,33.3,"25","20",1.31,1.4674
"Japan",89652,1631,1.8,1.29,70.88,84.092515707016,10.9359331429005,12.8477171063423,83,3506,1678000,1888000,-210000,-4.6,0.882,0.915,5.443e+12,29.74,"55.945","10",NA,NA
"Jordan",26073,207,0.8,2.08,255.54,44.8005378246307,8.11925083398819,30.4274260997772,76,153,9157,11810,-2653,-6.5,0.617,0.723,8.9e+10,20,"25","16",2.32,3.3598
"Kazakhstan",108901,1746,1.6,9.55,579.98,62.0811462402344,3.12536172568798,33.1494748592377,76,174,34130,37890,-3760,-2.4,0.759,0.817,4.786e+11,20,"10","13",NA,NA
"Kenya",41619,777,1.9,1.51,77.4,42.7392691373825,4.80254329741001,24.0433126688004,55,33,15370,20180,-4810,-6.1,0.426,0.579,1.637e+11,30,"30","16",0.2,1.0587
"Kuwait",111893,664,0.6,16.05,2620.09,87.3870193958282,5.2913848310709,12.6153096556664,76,1336,52870,61390,-8520,-7.2,NA,NA,2.897e+11,0,"0","0",2.65,7.3489
"Kyrgyzstan",49528,1090,2.2,17.26,759.14,37.9522532224655,6.1858631670475,56.3766300678253,70,30,2050,2304,-254,-3.6,0.61,0.674,2.315e+10,NA,NA,NA,NA,NA
"Latvia",2765,40,1.4,2.08,146.59,57.1428596973419,5.95566183328629,41.9875770807266,71,532,10130,10430,-300,-1,0.776,0.854,5.402e+10,0,"31.4","21",3.19,4.7517
"Lebanon",54624,466,0.9,6.8,800.3,50.0214636325836,8.19554403424263,33.2187473773956,73,360,10900,15990,-5090,-9.7,NA,NA,8.825e+10,17,"25","11",2.03,1.6418
"Lesotho",1805,42,2.3,1.99,84.26,62.9203021526337,8.76315832138062,16.6426405310631,48,66,1057,1160,-103,-3.8,0.35,0.518,6.656e+09,NA,NA,NA,NA,NA
"Liberia",1371,82,6,1.7,27.11,17.2045513987541,8.15533772110939,45.5063581466675,39,10,626,728,-102,-4.7,0.314,0.465,6.112e+09,25,NA,NA,NA,NA
"Libya",43821,644,1.5,9.64,637.74,NA,NA,NA,64,198,16330,22320,-5990,-18,NA,NA,6.197e+10,NA,NA,NA,2.09,6.5305
"Lithuania",6248,103,1.6,3.69,229.51,65.4578804969788,6.45756423473358,32.2738111019135,73,885,21180,21630,-450,-1,0.774,0.869,9.147e+10,15,"42.77","21",4.83,7.9795
"Luxembourg",9119,128,1.4,21.06,1456.76,84.8564803600311,5.4810743778944,10.6895416975021,83,5230,27600,27380,220,0.4,0.822,0.909,6.211e+10,28.69,"45.78","17",3.01,12.1744
"Madagascar",16726,237,1.4,0.9,60.4,46.8804866075516,5.50203807651997,24.6854111552238,28,12,1292,1725,-443,-4.1,0.386,0.521,3.985e+10,NA,NA,NA,NA,NA
"Malawi",5824,180,3.1,0.99,30.44,30.6460410356522,9.64823141694069,10.5903871357441,46,10,1298,1612,-314,-5,0.346,0.485,2.242e+10,NA,NA,NA,NA,NA
"Malaysia",16220,159,1,0.5,50.11,50.58873295784,3.85939814150333,37.9471957683563,73,194,51230,60260,-9030,-2.9,NA,NA,9.333e+11,24,"28","10",1.54,3.4676
"Maldives",10943,35,0.3,6.79,2024.44,71.4557826519012,9.02997627854347,20.6469982862473,62,720,960,1156,-196,-3.7,0.568,0.719,6.901e+09,15,"15","6",3.72,6.4927
"Mali",3296,132,4,0.69,16.28,34.9335610866547,3.79398502409458,35.1130127906799,38,11,3068,3584,-516,-3.4,0.294,0.427,4.122e+10,NA,NA,NA,NA,NA
"Malta",3844,43,1.1,8.89,870.58,63.0681812763214,9.34099927544594,34.7537875175476,82,1631,4295,4354,-59,-0.5,0.815,0.885,1.926e+10,35,NA,"18",NA,NA
